,photos_count,stars,review_count,distance_km
photos_count,1.0,0.0938003396795214,0.39032609519705863,-0.11051865056086375
stars,0.0938003396795214,1.0,0.024989381371355424,-0.18713044435115697
review_count,0.39032609519705863,0.024989381371355424,1.0,-0.1613507518650214
distance_km,-0.11051865056086375,-0.18713044435115697,-0.1613507518650214,1.0
