category,count,average_stars,average_review_count
Zoos,2,4.0,214.5
Park & Forests,6,4.333333333333333,130.16666666666666
Museums,10,4.4,136.7
Landmarks & Historic Buildings,7,4.428571428571429,152.71428571428572
Local Flavour,2,4.5,162.0
Botanical Gardens,1,4.5,79.0
Aquariums,1,4.5,119.0
Shopping Centers,1,4.5,98.0
Massage,1,4.5,4.0
Eyelash Extension & Eyelash Tinting,1,4.5,4.0
Hairdressers,29,4.586206896551724,3.793103448275862
Estheticians,1,5.0,2.0
Makeup Artists,1,5.0,2.0
